Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,45120.975000,-31.387,7.139,256.000,10.166,-274.233,433.031,0.780,1.620,-0.960
1,45120.997000,-32.368,6.120,252.970,17.066,-276.853,433.800,-1.220,0.620,-0.960
2,45121.15000,-30.406,7.139,257.010,12.819,-275.983,430.955,-0.220,-0.380,-0.960
3,45121.38000,-34.330,5.100,252.970,17.123,-278.599,431.806,-0.220,1.620,-0.960
4,45121.55000,-30.406,7.139,257.010,14.494,-275.111,432.892,-2.220,0.620,-0.960
5,45121.78000,-32.368,5.100,253.980,13.660,-277.723,431.917,-1.220,-0.380,-0.960
6,45121.100000,-33.349,5.100,252.970,17.147,-276.861,430.817,-0.220,0.620,0.040
7,45121.117000,-31.387,7.139,257.010,12.793,-276.851,431.947,-0.220,-0.380,0.040
8,45121.140000,-34.330,6.120,251.961,17.224,-274.258,427.841,-0.220,-0.380,0.040
9,45121.155000,-30.406,7.139,258.020,17.119,-275.988,431.814,-0.220,-0.380,0.040
10,45121.175000,-32.368,5.100,253.980,13.654,-274.242,431.928,-1.220,0.620,0.040
11,45121.203000,-32.368,5.100,252.970,12.790,-275.111,431.952,0.780,1.620,0.040
12,45121.223000,-30.406,6.120,257.010,17.092,-275.985,432.808,-2.220,0.620,0.040
13,45121.238000,-32.368,5.100,254.990,12.006,-275.117,428.996,-2.220,-0.380,-0.960
14,45121.273000,-30.406,5.100,254.990,16.280,-275.989,430.846,-0.220,1.620,0.040
15,45121.280000,-32.368,5.100,253.980,16.259,-279.468,431.831,-0.220,1.620,0.040
16,45121.295000,-33.349,6.120,252.970,13.654,-274.242,431.928,-1.220,0.620,-0.960
17,45121.320000,-31.387,6.120,257.010,11.064,-277.719,431.999,-0.220,0.620,0.040
18,45121.343000,-34.330,5.100,251.961,11.088,-275.981,431.009,-0.220,0.620,-0.960
19,45121.360000,-30.406,7.139,257.010,9.383,-275.110,430.072,-2.220,1.620,0.040
20,45121.378000,-33.349,6.120,253.980,10.219,-273.368,431.044,-0.220,0.620,-0.960
